id,text,timestamp,source,symbols,company_names,url,verified,clean_text,finbert_label
1018928405453135900,Some candidates for you to short:  $CHKP $XOM $CBS $MRK,2018-07-16 18:40:37+00:00,OptionsPros,CBS,CBS Corporation,,False,some candidates for you to short  chkp xom cbs mrk,0
1019587553551372300,https://t.co/9VjKMnGXvX $CVNA $DAL $DISCA $MU $TKC https://t.co/wkeFqrTQxF,2018-07-18 14:19:50+00:00,42Stocks,DISCA,Discovery,http://42stocks.com,False, cvna dal disca mu tkc ,0
1018876544587063300,As Accenture Plc Ireland $ACN Market Value Declined Morgan Stanley Trimmed Position - https://t.co/IFHuXpSSE9,2018-07-16 15:14:32+00:00,whatsonthorold2,ACN,Accenture plc,https://www.whatsonthorold.com/2018/07/16/as-accenture-plc-ireland-acn-market-value-declined-morgan-stanley-trimmed-position/,False,as accenture plc ireland acn market value declined morgan stanley trimmed position  ,1
1018582291986206700,Are Analysts Bullish about Campbell Soup Company $CPB after last week? https://t.co/BcMiRuN8uF,2018-07-15 19:45:17+00:00,reurope_stock,CPB,Campbell Soup Company,https://reurope.com/2018/07/15/are-analysts-bullish-about-campbell-soup-company-nysecpb-after-last-week/,False,are analysts bullish about campbell soup company cpb after last week ,1
1019213270379622400,Nasdaq Halts China Auto Logistics Inc. $NDAQ https://t.co/xCVt29ZF9z,2018-07-17 13:32:34+00:00,GNWLive,NDAQ,Nasdaq,http://bit.ly/2uF2OYF,False,nasdaq halts china auto logistics inc ndaq ,0
1019345922818486300,$1.63 EPS Expected for Tyson Foods Inc. $TSN This Quarter https://t.co/QoNS6juav8,2018-07-17 22:19:41+00:00,MareaInformativ,TSN,Tyson Foods,http://www.mareainformativa.com/?p=464940,False,163 eps expected for tyson foods inc tsn this quarter ,0
1019688442052206600,RT @Striver_7: @binance $ETN,2018-07-18 21:00:44+00:00,jaaplallie,ETN,Eaton Corporation plc,,False,rt striver_7 binance etn,0
1018240796506587100,#RealEstate #2018shift #FED $HCP $OHI $VTR $WPC #REIT $REIT $DJR $SPX $RUT $GLD $SLV $VIX $SPY $OIL $USDX $DXY… https://t.co/FbnVX2r58c,2018-07-14 21:08:18+00:00,2017_Shift,HCP,HCP,https://twitter.com/i/web/status/1018240796506587136,False,realestate 2018shift fed hcp ohi vtr wpc reit reit djr spx rut gld slv vix spy oil usdx dxy ,0
1019616845433884700,T Mobile Us INC $TMUS Shareholder Palestra Capital Management LLC Has Lowered Its Holding as Share Value Declined - https://t.co/bVkl2ymaie,2018-07-18 16:16:14+00:00,mmahotstuff1,TMUS,T-Mobile US,https://www.mmahotstuff.com/2018/07/18/t-mobile-us-inc-tmus-shareholder-palestra-capital-management-llc-has-lowered-its-holding-as-share-value-declined.html,False,t mobile us inc tmus shareholder palestra capital management llc has lowered its holding as share value declined  ,2
1019578432651513900,Newfield Exploration $NFX Shares Gap Down to $30.10 https://t.co/pIud1hrc05,2018-07-18 13:43:35+00:00,MareaInformativ,NFX,Newfield Exploration Company,http://www.mareainformativa.com/?p=469351,False,newfield exploration nfx shares gap down to 3010 ,2
